Run           Event         Onset         Dur
1             scrL           14.634       350
1             ButtonResp    -1815.229     0
1             posL           18.038       350
1             ButtonResp    -1815.229     0
1             scrL           21.425       350
1             ButtonResp    -1815.229     0
1             posV           24.829       350
1             ButtonResp    -1815.229     0
1             negL           28.232       350
1             ButtonResp    -1815.229     0
1             posFOIL        31.636       350
1             ButtonResp    -1815.229     0
1             posV           35.023       350
1             ButtonResp    -1815.229     0
1             negL           38.427       350
1             ButtonResp    -1815.229     0
1             negL           41.83        350
1             ButtonResp    -1815.229     0
1             scrV           45.234       350
1             ButtonResp    -1815.229     0
1             posV           48.637       350
1             ButtonResp    -1815.229     0
1             posV           52.024       350
1             ButtonResp    -1815.229     0
1             posL           55.428       350
1             ButtonResp    -1815.229     0
1             negFOIL        58.832       350
1             ButtonResp    -1815.229     0
1             posV           72.229       350
1             ButtonResp    -1815.229     0
1             posFOIL        75.633       350
1             ButtonResp    -1815.229     0
1             negV           79.037       350
1             ButtonResp    -1815.229     0
1             posV           82.424       350
1             ButtonResp    -1815.229     0
1             negV           85.827       350
1             ButtonResp    -1815.229     0
1             posV           89.231       350
1             ButtonResp    -1815.229     0
1             negV           92.635       350
1             ButtonResp    -1815.229     0
1             negL           96.038       350
1             ButtonResp    -1815.229     0
1             negFOIL        99.425       350
1             ButtonResp    -1815.229     0
1             negL           102.829      350
1             ButtonResp    -1815.229     0
1             posV           106.232      350
1             ButtonResp    -1815.229     0
1             posFOIL        109.636      350
1             ButtonResp    -1815.229     0
1             negV           113.023      350
1             ButtonResp    -1815.229     0
1             posL           116.427      350
1             ButtonResp    -1815.229     0
1             scrV           129.824      350
1             ButtonResp    -1815.229     0
1             posFOIL        133.228      350
1             ButtonResp    -1815.229     0
1             negV           136.632      350
1             ButtonResp    -1815.229     0
1             negV           140.035      350
1             ButtonResp    -1815.229     0
1             scrFOIL        143.422      350
1             ButtonResp    -1815.229     0
1             negV           146.826      350
1             ButtonResp    -1815.229     0
1             negL           150.23       350
1             ButtonResp    -1815.229     0
1             posV           153.633      350
1             ButtonResp    -1815.229     0
1             negL           157.037      350
1             ButtonResp    -1815.229     0
1             negFOIL        160.424      350
1             ButtonResp    -1815.229     0
1             negV           163.828      350
1             ButtonResp    -1815.229     0
1             negL           167.231      350
1             ButtonResp    -1815.229     0
1             negV           170.635      350
1             ButtonResp    -1815.229     0
1             negV           174.039      350
1             ButtonResp    -1815.229     0
1             posFOIL        187.436      350
1             ButtonResp    -1815.229     0
1             scrFOIL        190.823      350
1             ButtonResp    -1815.229     0
1             posL           194.227      350
1             ButtonResp    -1815.229     0
1             posL           197.631      350
1             ButtonResp    -1815.229     0
1             negL           201.034      350
1             ButtonResp    -1815.229     0
1             posL           204.438      350
1             ButtonResp    -1815.229     0
1             posV           207.825      350
1             ButtonResp    -1815.229     0
1             negL           211.228      350
1             ButtonResp    -1815.229     0
1             negFOIL        214.632      350
1             ButtonResp    -1815.229     0
1             negV           218.036      350
1             ButtonResp    -1815.229     0
1             negV           221.423      350
1             ButtonResp    -1815.229     0
1             scrL           224.826      350
1             ButtonResp    -1815.229     0
1             negV           228.23       350
1             ButtonResp    -1815.229     0
1             scrL           231.634      350
1             ButtonResp    -1815.229     0
1             posL           245.031      350
1             ButtonResp    -1815.229     0
1             negFOIL        248.435      350
1             ButtonResp    -1815.229     0
1             posL           251.839      350
1             ButtonResp    -1815.229     0
1             posL           255.226      350
1             ButtonResp    -1815.229     0
1             negL           258.629      350
1             ButtonResp    -1815.229     0
1             scrV           262.033      350
1             ButtonResp    -1815.229     0
1             negL           265.437      350
1             ButtonResp    -1815.229     0
1             negL           268.824      350
1             ButtonResp    -1815.229     0
1             posL           272.227      350
1             ButtonResp    -1815.229     0
1             posFOIL        275.631      350
1             ButtonResp    -1815.229     0
1             posV           279.034      350
1             ButtonResp    -1815.229     0
1             negFOIL        282.438      350
1             ButtonResp    -1815.229     0
1             posL           285.825      350
1             ButtonResp    -1815.229     0
1             negV           289.229      350
1             ButtonResp    -1815.229     0
1             posL           302.626      350
1             ButtonResp    -1815.229     0
1             posL           306.03       350
1             ButtonResp    -1815.229     0
1             posV           309.434      350
1             ButtonResp    -1815.229     0
1             negL           312.837      350
1             ButtonResp    -1815.229     0
1             negL           316.224      350
1             ButtonResp    -1815.229     0
1             scrV           319.628      350
1             ButtonResp    -1815.229     0
1             scrFOIL        323.032      350
1             ButtonResp    -1815.229     0
1             posV           326.435      350
1             ButtonResp    -1815.229     0
1             posL           329.822      350
1             ButtonResp    -1815.229     0
1             negFOIL        333.226      350
1             ButtonResp    -1815.229     0
1             posL           336.63       350
1             ButtonResp    -1815.229     0
1             negL           340.033      350
1             ButtonResp    -1815.229     0
1             posL           343.437      350
1             ButtonResp    -1815.229     0
1             negV           346.824      350
1             ButtonResp    -1815.229     0
1             negV           360.238      350
1             ButtonResp    -1815.229     0
1             posV           363.625      350
1             ButtonResp    -1815.229     0
1             posFOIL        367.029      350
1             ButtonResp    -1815.229     0
1             negL           370.432      350
1             ButtonResp    -1815.229     0
1             scrFOIL        373.836      350
1             ButtonResp    -1815.229     0
1             posV           377.223      350
1             ButtonResp    -1815.229     0
1             posL           380.627      350
1             ButtonResp    -1815.229     0
1             negV           384.03       350
1             ButtonResp    -1815.229     0
1             posL           387.434      350
1             ButtonResp    -1815.229     0
1             scrL           390.838      350
1             ButtonResp    -1815.229     0
1             negV           394.225      350
1             ButtonResp    -1815.229     0
1             posV           397.628      350
1             ButtonResp    -1815.229     0
1             posV           401.032      350
1             ButtonResp    -1815.229     0
1             posL           404.436      350
1             ButtonResp    -1815.229     0
1             posL           417.833      350
1             ButtonResp    -1815.229     0
1             scrL           421.237      350
1             ButtonResp    -1815.229     0
1             scrV           424.624      350
1             ButtonResp    -1815.229     0
1             posV           428.028      350
1             ButtonResp    -1815.229     0
1             negL           431.431      350
1             ButtonResp    -1815.229     0
1             negV           434.835      350
1             ButtonResp    -1815.229     0
1             scrV           438.239      350
1             ButtonResp    -1815.229     0
1             negL           441.625      350
1             ButtonResp    -1815.229     0
1             negFOIL        445.029      350
1             ButtonResp    -1815.229     0
1             posV           448.433      350
1             ButtonResp    -1815.229     0
1             negL           451.836      350
1             ButtonResp    -1815.229     0
1             negV           455.223      350
1             ButtonResp    -1815.229     0
1             posV           458.627      350
1             ButtonResp    -1815.229     0
1             posFOIL        462.031      350
1             ButtonResp    -1815.229     0
