Run           Event         Onset         Dur
1             scrL           14.819       350
1             ButtonResp     15.445       76
1             posL           18.368       350
1             ButtonResp     18.961       43
1             scrL           21.917       350
1             ButtonResp     22.506       39
1             posV           25.465       350
1             ButtonResp    -1925.849     0
1             negL           29.014       350
1             ButtonResp     29.62        56
1             posFOIL        32.563       350
1             ButtonResp    -1925.849     0
1             posV           36.112       350
1             ButtonResp     36.708       46
1             negL           39.661       350
1             ButtonResp     40.246       36
1             negL           43.209       350
1             ButtonResp     43.81        51
1             scrV           46.758       350
1             ButtonResp     47.433       125
1             posV           50.307       350
1             ButtonResp     50.943       86
1             posV           53.856       350
1             ButtonResp     54.442       37
1             posL           57.404       350
1             ButtonResp     58.001       47
1             negFOIL        60.953       350
1             ButtonResp    -1925.849     0
1             posV           74.498       350
1             ButtonResp     75.114       66
1             posFOIL        78.047       350
1             ButtonResp    -1925.849     0
1             negV           81.596       350
1             ButtonResp     82.291       146
1             posV           85.144       350
1             ButtonResp     85.771       77
1             negV           88.693       350
1             ButtonResp     89.318       75
1             posV           92.242       350
1             ButtonResp     92.865       73
1             negV           95.791       350
1             ButtonResp     96.399       59
1             negL           99.339       350
1             ButtonResp    -1925.849     0
1             negFOIL        102.888      350
1             ButtonResp    -1925.849     0
1             negL           106.437      350
1             ButtonResp    -1925.849     0
1             posV           109.986      350
1             ButtonResp     110.696      161
1             posFOIL        113.534      350
1             ButtonResp    -1925.849     0
1             negV           117.083      350
1             ButtonResp     117.77       137
1             posL           120.632      350
1             ButtonResp     121.186      5
1             scrV           134.177      350
1             ButtonResp     134.903      177
1             posFOIL        137.725      350
1             ButtonResp    -1925.849     0
1             negV           141.274      350
1             ButtonResp     141.945      121
1             negV           144.823      350
1             ButtonResp     145.561      188
1             scrFOIL        148.372      350
1             ButtonResp    -1925.849     0
1             negV           151.92       350
1             ButtonResp     152.7        230
1             negL           155.469      350
1             ButtonResp     156.144      125
1             posV           159.018      350
1             ButtonResp     159.695      127
1             negL           162.567      350
1             ButtonResp     163.251      135
1             negFOIL        166.115      350
1             ButtonResp    -1925.849     0
1             negV           169.664      350
1             ButtonResp     170.366      152
1             negL           173.213      350
1             ButtonResp     173.921      158
1             negV           176.761      350
1             ButtonResp     177.364      53
1             negV           180.31       350
1             ButtonResp     180.917      57
1             posFOIL        193.856      350
1             ButtonResp    -1925.849     0
1             scrFOIL        197.404      350
1             ButtonResp    -1925.849     0
1             posL           200.953      350
1             ButtonResp     201.622      119
1             posL           204.502      350
1             ButtonResp     205.093      42
1             negL           208.05       350
1             ButtonResp     208.644      44
1             posL           211.599      350
1             ButtonResp     212.238      89
1             posV           215.148      350
1             ButtonResp     215.777      79
1             negL           218.697      350
1             ButtonResp     219.319      72
1             negFOIL        222.245      350
1             ButtonResp    -1925.849     0
1             negV           225.794      350
1             ButtonResp     226.37       26
1             negV           229.343      350
1             ButtonResp     229.929      36
1             scrL           232.891      350
1             ButtonResp     233.489      48
1             negV           236.44       350
1             ButtonResp     237.037      47
1             scrL           239.989      350
1             ButtonResp     240.604      65
1             posL           253.534      350
1             ButtonResp     254.242      158
1             negFOIL        257.083      350
1             ButtonResp    -1925.849     0
1             posL           260.632      350
1             ButtonResp     261.307      125
1             posL           264.18       350
1             ButtonResp     264.792      62
1             negL           267.729      350
1             ButtonResp     268.344      65
1             scrV           271.278      350
1             ButtonResp     272.19       362
1             negL           274.826      350
1             ButtonResp     275.439      63
1             negL           278.376      350
1             ButtonResp     279.012      87
1             posL           281.924      350
1             ButtonResp     282.593      119
1             posFOIL        285.473      350
1             ButtonResp    -1925.849     0
1             posV           289.021      350
1             ButtonResp     289.689      118
1             negFOIL        292.57       350
1             ButtonResp    -1925.849     0
1             posL           296.119      350
1             ButtonResp     296.746      77
1             negV           299.667      350
1             ButtonResp     300.313      96
1             posL           313.213      350
1             ButtonResp     313.81       47
1             posL           316.761      350
1             ButtonResp     317.38       69
1             posV           320.31       350
1             ButtonResp     320.904      44
1             negL           323.859      350
1             ButtonResp    -1925.849     0
1             negL           327.408      350
1             ButtonResp     327.969      11
1             scrV           330.956      350
1             ButtonResp     331.507      1
1             scrFOIL        334.505      350
1             ButtonResp    -1925.849     0
1             posV           338.054      350
1             ButtonResp     338.664      60
1             posL           341.603      350
1             ButtonResp     342.166      14
1             negFOIL        345.151      350
1             ButtonResp    -1925.849     0
1             posL           348.7        350
1             ButtonResp     349.308      58
1             negL           352.249      350
1             ButtonResp     352.904      105
1             posL           355.797      350
1             ButtonResp     356.392      45
1             negV           359.346      350
1             ButtonResp     359.961      65
1             negV           372.891      350
1             ButtonResp     373.642      201
1             posV           376.44       350
1             ButtonResp     377.187      197
1             posFOIL        379.989      350
1             ButtonResp    -1925.849     0
1             negL           383.538      350
1             ButtonResp     384.234      146
1             scrFOIL        387.086      350
1             ButtonResp    -1925.849     0
1             posV           390.635      350
1             ButtonResp     391.218      33
1             posL           394.184      350
1             ButtonResp     394.873      139
1             negV           397.732      350
1             ButtonResp     398.413      131
1             posL           401.282      350
1             ButtonResp     401.973      142
1             scrL           404.83       350
1             ButtonResp     405.545      165
1             negV           408.379      350
1             ButtonResp     409.076      147
1             posV           411.928      350
1             ButtonResp     412.597      120
1             posV           415.476      350
1             ButtonResp     416.201      175
1             posL           419.025      350
1             ButtonResp     419.769      194
1             posL           432.57       350
1             ButtonResp     433.184      64
1             scrL           436.119      350
1             ButtonResp     436.736      67
1             scrV           439.668      350
1             ButtonResp     440.218      1
1             posV           443.216      350
1             ButtonResp     443.846      80
1             negL           446.765      350
1             ButtonResp     447.394      79
1             negV           450.314      350
1             ButtonResp     450.864      0
1             scrV           453.863      350
1             ButtonResp     454.454      42
1             negL           457.411      350
1             ButtonResp     458.009      48
1             negFOIL        460.96       350
1             ButtonResp    -1925.849     0
1             posV           464.509      350
1             ButtonResp    -1925.849     0
1             negL           468.057      350
1             ButtonResp     468.646      39
1             negV           471.606      350
1             ButtonResp     472.226      70
1             posV           475.155      350
1             ButtonResp     475.775      70
1             posFOIL        478.704      350
1             ButtonResp    -1925.849     0
