Run           Event         Onset         Dur
1             scrL           14.631       350
1             ButtonResp    -1779.145     0
1             posL           18.035       350
1             ButtonResp    -1779.145     0
1             scrL           21.422       350
1             ButtonResp    -1779.145     0
1             posV           24.826       350
1             ButtonResp    -1779.145     0
1             negL           28.229       350
1             ButtonResp    -1779.145     0
1             posFOIL        31.633       350
1             ButtonResp    -1779.145     0
1             posV           35.02        350
1             ButtonResp    -1779.145     0
1             negL           38.424       350
1             ButtonResp    -1779.145     0
1             negL           41.827       350
1             ButtonResp    -1779.145     0
1             scrV           45.231       350
1             ButtonResp    -1779.145     0
1             posV           48.635       350
1             ButtonResp    -1779.145     0
1             posV           52.022       350
1             ButtonResp    -1779.145     0
1             posL           55.425       350
1             ButtonResp    -1779.145     0
1             negFOIL        58.829       350
1             ButtonResp    -1779.145     0
1             posV           72.227       350
1             ButtonResp    -1779.145     0
1             posFOIL        75.63        350
1             ButtonResp    -1779.145     0
1             negV           79.034       350
1             ButtonResp    -1779.145     0
1             posV           82.421       350
1             ButtonResp    -1779.145     0
1             negV           85.825       350
1             ButtonResp    -1779.145     0
1             posV           89.228       350
1             ButtonResp    -1779.145     0
1             negV           92.632       350
1             ButtonResp    -1779.145     0
1             negL           96.019       350
1             ButtonResp    -1779.145     0
1             negFOIL        99.423       350
1             ButtonResp    -1779.145     0
1             negL           102.827      350
1             ButtonResp    -1779.145     0
1             posV           106.23       350
1             ButtonResp    -1779.145     0
1             posFOIL        109.634      350
1             ButtonResp    -1779.145     0
1             negV           113.021      350
1             ButtonResp    -1779.145     0
1             posL           116.425      350
1             ButtonResp    -1779.145     0
1             scrV           129.822      350
1             ButtonResp    -1779.145     0
1             posFOIL        133.226      350
1             ButtonResp    -1779.145     0
1             negV           136.63       350
1             ButtonResp    -1779.145     0
1             negV           140.033      350
1             ButtonResp    -1779.145     0
1             scrFOIL        143.42       350
1             ButtonResp    -1779.145     0
1             negV           146.824      350
1             ButtonResp    -1779.145     0
1             negL           150.228      350
1             ButtonResp    -1779.145     0
1             posV           153.631      350
1             ButtonResp    -1779.145     0
1             negL           157.035      350
1             ButtonResp    -1779.145     0
1             negFOIL        160.422      350
1             ButtonResp    -1779.145     0
1             negV           163.826      350
1             ButtonResp    -1779.145     0
1             negL           167.23       350
1             ButtonResp    -1779.145     0
1             negV           170.633      350
1             ButtonResp    -1779.145     0
1             negV           174.02       350
1             ButtonResp    -1779.145     0
1             posFOIL        187.435      350
1             ButtonResp    -1779.145     0
1             scrFOIL        190.822      350
1             ButtonResp    -1779.145     0
1             posL           194.225      350
1             ButtonResp    -1779.145     0
1             posL           197.629      350
1             ButtonResp    -1779.145     0
1             negL           201.033      350
1             ButtonResp    -1779.145     0
1             posL           204.42       350
1             ButtonResp    -1779.145     0
1             posV           207.823      350
1             ButtonResp    -1779.145     0
1             negL           211.227      350
1             ButtonResp    -1779.145     0
1             negFOIL        214.631      350
1             ButtonResp    -1779.145     0
1             negV           218.034      350
1             ButtonResp    -1779.145     0
1             negV           221.421      350
1             ButtonResp    -1779.145     0
1             scrL           224.825      350
1             ButtonResp    -1779.145     0
1             negV           228.229      350
1             ButtonResp    -1779.145     0
1             scrL           231.633      350
1             ButtonResp    -1779.145     0
1             posL           245.03       350
1             ButtonResp    -1779.145     0
1             negFOIL        248.434      350
1             ButtonResp    -1779.145     0
1             posL           251.821      350
1             ButtonResp    -1779.145     0
1             posL           255.225      350
1             ButtonResp    -1779.145     0
1             negL           258.628      350
1             ButtonResp    -1779.145     0
1             scrV           262.032      350
1             ButtonResp    -1779.145     0
1             negL           265.436      350
1             ButtonResp    -1779.145     0
