Run           Event         Onset         Dur
1             scrL           14.827       350
1             ButtonResp    -1903.923     0
1             posL           18.275       350
1             ButtonResp    -1903.923     0
1             scrL           21.724       350
1             ButtonResp    -1903.923     0
1             posV           25.173       350
1             ButtonResp    -1903.923     0
1             negL           28.622       350
1             ButtonResp    -1903.923     0
1             posFOIL        32.07        350
1             ButtonResp    -1903.923     0
1             posV           35.519       350
1             ButtonResp    -1903.923     0
1             negL           38.968       350
1             ButtonResp    -1903.923     0
1             negL           42.417       350
1             ButtonResp    -1903.923     0
1             scrV           45.865       350
1             ButtonResp    -1903.923     0
1             posV           49.314       350
1             ButtonResp    -1903.923     0
1             posV           52.763       350
1             ButtonResp    -1903.923     0
1             posL           56.212       350
1             ButtonResp    -1903.923     0
1             negFOIL        59.66        350
1             ButtonResp    -1903.923     0
1             posV           73.122       350
1             ButtonResp    -1903.923     0
1             posFOIL        76.571       350
1             ButtonResp    -1903.923     0
1             negV           80.02        350
1             ButtonResp    -1903.923     0
1             posV           83.469       350
1             ButtonResp    -1903.923     0
1             negV           86.917       350
1             ButtonResp    -1903.923     0
1             posV           90.366       350
1             ButtonResp    -1903.923     0
1             negV           93.815       350
1             ButtonResp    -1903.923     0
1             negL           97.264       350
1             ButtonResp    -1903.923     0
1             negFOIL        100.712      350
1             ButtonResp    -1903.923     0
1             negL           104.161      350
1             ButtonResp    -1903.923     0
1             posV           107.61       350
1             ButtonResp    -1903.923     0
1             posFOIL        111.059      350
1             ButtonResp    -1903.923     0
1             negV           114.507      350
1             ButtonResp    -1903.923     0
1             posL           117.956      350
1             ButtonResp    -1903.923     0
1             scrV           131.402      350
1             ButtonResp    -1903.923     0
1             posFOIL        134.85       350
1             ButtonResp    -1903.923     0
1             negV           138.299      350
1             ButtonResp    -1903.923     0
1             negV           141.748      350
1             ButtonResp    -1903.923     0
1             scrFOIL        145.196      350
1             ButtonResp    -1903.923     0
1             negV           148.645      350
1             ButtonResp    -1903.923     0
1             negL           152.094      350
1             ButtonResp    -1903.923     0
1             posV           155.543      350
1             ButtonResp    -1903.923     0
1             negL           158.992      350
1             ButtonResp    -1903.923     0
1             negFOIL        162.44       350
1             ButtonResp    -1903.923     0
1             negV           165.889      350
1             ButtonResp    -1903.923     0
1             negL           169.338      350
1             ButtonResp    -1903.923     0
1             negV           172.787      350
1             ButtonResp    -1903.923     0
1             negV           176.236      350
1             ButtonResp    -1903.923     0
1             posFOIL        189.681      350
1             ButtonResp    -1903.923     0
1             scrFOIL        193.129      350
1             ButtonResp    -1903.923     0
1             posL           196.578      350
1             ButtonResp    -1903.923     0
1             posL           200.027      350
1             ButtonResp    -1903.923     0
1             negL           203.476      350
1             ButtonResp    -1903.923     0
1             posL           206.925      350
1             ButtonResp    -1903.923     0
1             posV           210.373      350
1             ButtonResp    -1903.923     0
1             negL           213.822      350
1             ButtonResp    -1903.923     0
1             negFOIL        217.271      350
1             ButtonResp    -1903.923     0
1             negV           220.72       350
1             ButtonResp    -1903.923     0
1             negV           224.168      350
1             ButtonResp    -1903.923     0
1             scrL           227.617      350
1             ButtonResp    -1903.923     0
1             negV           231.066      350
1             ButtonResp    -1903.923     0
1             scrL           234.515      350
1             ButtonResp    -1903.923     0
1             posL           247.96       350
1             ButtonResp    -1903.923     0
1             negFOIL        251.409      350
1             ButtonResp    -1903.923     0
1             posL           254.858      350
1             ButtonResp    -1903.923     0
1             posL           258.306      350
1             ButtonResp    -1903.923     0
1             negL           261.755      350
1             ButtonResp    -1903.923     0
1             scrV           265.204      350
1             ButtonResp    -1903.923     0
1             negL           268.653      350
1             ButtonResp    -1903.923     0
1             negL           272.101      350
1             ButtonResp    -1903.923     0
1             posL           275.55       350
1             ButtonResp    -1903.923     0
1             posFOIL        278.999      350
1             ButtonResp    -1903.923     0
1             posV           282.448      350
1             ButtonResp    -1903.923     0
1             negFOIL        285.896      350
1             ButtonResp    -1903.923     0
1             posL           289.345      350
1             ButtonResp    -1903.923     0
1             negV           292.794      350
1             ButtonResp    -1903.923     0
1             posL           306.239      350
1             ButtonResp    -1903.923     0
1             posL           309.688      350
1             ButtonResp    -1903.923     0
1             posV           313.137      350
1             ButtonResp    -1903.923     0
1             negL           316.585      350
1             ButtonResp    -1903.923     0
1             negL           320.034      350
1             ButtonResp    -1903.923     0
1             scrV           323.483      350
1             ButtonResp    -1903.923     0
1             scrFOIL        326.932      350
1             ButtonResp    -1903.923     0
1             posV           330.38       350
1             ButtonResp    -1903.923     0
1             posL           333.829      350
1             ButtonResp    -1903.923     0
1             negFOIL        337.278      350
1             ButtonResp    -1903.923     0
1             posL           340.727      350
1             ButtonResp    -1903.923     0
1             negL           344.176      350
1             ButtonResp    -1903.923     0
1             posL           347.624      350
1             ButtonResp    -1903.923     0
1             negV           351.073      350
1             ButtonResp    -1903.923     0
1             negV           364.535      350
1             ButtonResp    -1903.923     0
1             posV           367.984      350
1             ButtonResp    -1903.923     0
1             posFOIL        371.432      350
1             ButtonResp    -1903.923     0
1             negL           374.881      350
1             ButtonResp    -1903.923     0
1             scrFOIL        378.33       350
1             ButtonResp    -1903.923     0
1             posV           381.779      350
1             ButtonResp    -1903.923     0
1             posL           385.228      350
1             ButtonResp    -1903.923     0
1             negV           388.676      350
1             ButtonResp    -1903.923     0
1             posL           392.125      350
1             ButtonResp    -1903.923     0
1             scrL           395.574      350
1             ButtonResp    -1903.923     0
1             negV           399.023      350
1             ButtonResp    -1903.923     0
1             posV           402.471      350
1             ButtonResp    -1903.923     0
1             posV           405.92       350
1             ButtonResp    -1903.923     0
1             posL           409.369      350
1             ButtonResp    -1903.923     0
1             posL           422.814      350
1             ButtonResp    -1903.923     0
1             scrL           426.263      350
