Run           Event         Onset         Dur
1             posFOIL        14.627       350
1             ButtonResp    -1802.598     0
1             scrFOIL        18.031       350
1             ButtonResp    -1802.598     0
1             posL           21.418       350
1             ButtonResp    -1802.598     0
1             posL           24.822       350
1             ButtonResp    -1802.598     0
1             negL           28.225       350
1             ButtonResp    -1802.598     0
1             posL           31.629       350
1             ButtonResp    -1802.598     0
1             posV           35.032       350
1             ButtonResp    -1802.598     0
1             negL           38.419       350
1             ButtonResp    -1802.598     0
1             negFOIL        41.823       350
1             ButtonResp    -1802.598     0
1             negV           45.227       350
1             ButtonResp    -1802.598     0
1             negV           48.63        350
1             ButtonResp    -1802.598     0
1             scrL           52.017       350
1             ButtonResp    -1802.598     0
1             negV           55.421       350
1             ButtonResp    -1802.598     0
1             scrL           58.824       350
1             ButtonResp    -1802.598     0
1             scrV           72.222       350
1             ButtonResp    -1802.598     0
1             posFOIL        75.626       350
1             ButtonResp    -1802.598     0
1             negV           79.029       350
1             ButtonResp    -1802.598     0
1             negV           82.416       350
1             ButtonResp    -1802.598     0
1             scrFOIL        85.82        350
1             ButtonResp    -1802.598     0
1             negV           89.223       350
1             ButtonResp    -1802.598     0
1             negL           92.627       350
1             ButtonResp    -1802.598     0
1             posV           96.031       350
1             ButtonResp    -1802.598     0
1             negL           99.418       350
1             ButtonResp    -1802.598     0
1             negFOIL        102.821      350
1             ButtonResp    -1802.598     0
1             negV           106.225      350
1             ButtonResp    -1802.598     0
1             negL           109.628      350
1             ButtonResp    -1802.598     0
1             negV           113.032      350
1             ButtonResp    -1802.598     0
1             negV           116.419      350
1             ButtonResp    -1802.598     0
1             posL           129.817      350
1             ButtonResp    -1802.598     0
1             posL           133.22       350
1             ButtonResp    -1802.598     0
1             posV           136.624      350
1             ButtonResp    -1802.598     0
1             negL           140.027      350
1             ButtonResp    -1802.598     0
1             negL           143.431      350
1             ButtonResp    -1802.598     0
1             scrV           146.818      350
1             ButtonResp    -1802.598     0
1             scrFOIL        150.222      350
1             ButtonResp    -1802.598     0
1             posV           153.625      350
1             ButtonResp    -1802.598     0
1             posL           157.029      350
1             ButtonResp    -1802.598     0
1             negFOIL        160.432      350
1             ButtonResp    -1802.598     0
1             posL           163.819      350
1             ButtonResp    -1802.598     0
1             negL           167.223      350
1             ButtonResp    -1802.598     0
1             posL           170.627      350
1             ButtonResp    -1802.598     0
1             negV           174.03       350
1             ButtonResp    -1802.598     0
1             negV           187.428      350
1             ButtonResp    -1802.598     0
1             posV           190.831      350
1             ButtonResp    -1802.598     0
1             posFOIL        194.218      350
1             ButtonResp    -1802.598     0
1             negL           197.622      350
1             ButtonResp    -1802.598     0
1             scrFOIL        201.026      350
1             ButtonResp    -1802.598     0
1             posV           204.429      350
1             ButtonResp    -1802.598     0
1             posL           207.816      350
1             ButtonResp    -1802.598     0
1             negV           211.22       350
1             ButtonResp    -1802.598     0
1             posL           214.623      350
1             ButtonResp    -1802.598     0
1             scrL           218.027      350
1             ButtonResp    -1802.598     0
