Run           Event         Onset         Dur
1             scrL           14.754       350
1             ButtonResp    -2011.835     0
1             posL           18.203       350
1             ButtonResp    -2011.835     0
1             scrL           21.652       350
1             ButtonResp    -2011.835     0
1             posV           25.1         350
1             ButtonResp    -2011.835     0
1             negL           28.549       350
1             ButtonResp    -2011.835     0
1             posFOIL        31.998       350
1             ButtonResp    -2011.835     0
1             posV           35.447       350
1             ButtonResp    -2011.835     0
1             negL           38.895       350
1             ButtonResp    -2011.835     0
1             negL           42.344       350
1             ButtonResp    -2011.835     0
1             scrV           45.793       350
1             ButtonResp    -2011.835     0
1             posV           49.242       350
1             ButtonResp    -2011.835     0
1             posV           52.691       350
1             ButtonResp    -2011.835     0
1             posL           56.139       350
1             ButtonResp    -2011.835     0
1             negFOIL        59.588       350
1             ButtonResp    -2011.835     0
1             posV           73.05        350
1             ButtonResp    -2011.835     0
1             posFOIL        76.499       350
1             ButtonResp    -2011.835     0
1             negV           79.947       350
1             ButtonResp    -2011.835     0
1             posV           83.396       350
1             ButtonResp    -2011.835     0
1             negV           86.845       350
1             ButtonResp    -2011.835     0
1             posV           90.294       350
1             ButtonResp    -2011.835     0
1             negV           93.743       350
1             ButtonResp    -2011.835     0
1             negL           97.191       350
1             ButtonResp    -2011.835     0
1             negFOIL        100.64       350
1             ButtonResp    -2011.835     0
1             negL           104.089      350
1             ButtonResp    -2011.835     0
1             posV           107.538      350
1             ButtonResp    -2011.835     0
1             posFOIL        110.986      350
1             ButtonResp    -2011.835     0
1             negV           114.435      350
1             ButtonResp    -2011.835     0
1             posL           117.884      350
1             ButtonResp    -2011.835     0
1             scrV           131.346      350
1             ButtonResp    -2011.835     0
1             posFOIL        134.795      350
1             ButtonResp    -2011.835     0
1             negV           138.243      350
1             ButtonResp    -2011.835     0
1             negV           141.692      350
1             ButtonResp    -2011.835     0
1             scrFOIL        145.141      350
1             ButtonResp    -2011.835     0
1             negV           148.59       350
1             ButtonResp    -2011.835     0
1             negL           152.038      350
1             ButtonResp    -2011.835     0
1             posV           155.487      350
1             ButtonResp    -2011.835     0
1             negL           158.936      350
1             ButtonResp    -2011.835     0
1             negFOIL        162.385      350
1             ButtonResp    -2011.835     0
1             negV           165.833      350
1             ButtonResp    -2011.835     0
1             negL           169.282      350
1             ButtonResp    -2011.835     0
1             negV           172.731      350
1             ButtonResp    -2011.835     0
1             negV           176.18       350
1             ButtonResp    -2011.835     0
1             posFOIL        189.625      350
1             ButtonResp    -2011.835     0
1             scrFOIL        193.074      350
1             ButtonResp    -2011.835     0
1             posL           196.522      350
1             ButtonResp    -2011.835     0
1             posL           199.971      350
1             ButtonResp    -2011.835     0
1             negL           203.42       350
1             ButtonResp    -2011.835     0
1             posL           206.869      350
1             ButtonResp    -2011.835     0
1             posV           210.318      350
1             ButtonResp    -2011.835     0
1             negL           213.766      350
1             ButtonResp    -2011.835     0
1             negFOIL        217.215      350
1             ButtonResp    -2011.835     0
1             negV           220.664      350
1             ButtonResp    -2011.835     0
1             negV           224.113      350
1             ButtonResp    -2011.835     0
1             scrL           227.561      350
1             ButtonResp    -2011.835     0
1             negV           231.01       350
1             ButtonResp    -2011.835     0
1             scrL           234.459      350
1             ButtonResp    -2011.835     0
1             posL           247.921      350
1             ButtonResp    -2011.835     0
1             negFOIL        251.37       350
1             ButtonResp    -2011.835     0
1             posL           254.819      350
1             ButtonResp    -2011.835     0
1             posL           258.267      350
1             ButtonResp    -2011.835     0
1             negL           261.716      350
1             ButtonResp    -2011.835     0
1             scrV           265.165      350
1             ButtonResp    -2011.835     0
1             negL           268.613      350
1             ButtonResp    -2011.835     0
1             negL           272.062      350
1             ButtonResp    -2011.835     0
1             posL           275.511      350
1             ButtonResp    -2011.835     0
1             posFOIL        278.96       350
1             ButtonResp    -2011.835     0
1             posV           282.408      350
1             ButtonResp    -2011.835     0
1             negFOIL        285.857      350
1             ButtonResp    -2011.835     0
1             posL           289.306      350
1             ButtonResp    -2011.835     0
1             negV           292.755      350
1             ButtonResp    -2011.835     0
1             posL           306.2        350
1             ButtonResp    -2011.835     0
1             posL           309.649      350
1             ButtonResp    -2011.835     0
1             posV           313.097      350
1             ButtonResp    -2011.835     0
1             negL           316.546      350
1             ButtonResp    -2011.835     0
1             negL           319.995      350
1             ButtonResp    -2011.835     0
1             scrV           323.444      350
1             ButtonResp    -2011.835     0
1             scrFOIL        326.893      350
1             ButtonResp    -2011.835     0
1             posV           330.341      350
1             ButtonResp    -2011.835     0
1             posL           333.79       350
1             ButtonResp    -2011.835     0
1             negFOIL        337.239      350
1             ButtonResp    -2011.835     0
1             posL           340.688      350
1             ButtonResp    -2011.835     0
1             negL           344.136      350
1             ButtonResp    -2011.835     0
1             posL           347.585      350
1             ButtonResp    -2011.835     0
1             negV           351.034      350
1             ButtonResp    -2011.835     0
1             negV           364.496      350
1             ButtonResp    -2011.835     0
1             posV           367.945      350
1             ButtonResp    -2011.835     0
1             posFOIL        371.393      350
1             ButtonResp    -2011.835     0
1             negL           374.842      350
1             ButtonResp    -2011.835     0
1             scrFOIL        378.291      350
1             ButtonResp    -2011.835     0
1             posV           381.74       350
1             ButtonResp    -2011.835     0
1             posL           385.188      350
1             ButtonResp    -2011.835     0
1             negV           388.637      350
1             ButtonResp    -2011.835     0
1             posL           392.086      350
1             ButtonResp    -2011.835     0
1             scrL           395.535      350
1             ButtonResp    -2011.835     0
1             negV           398.983      350
1             ButtonResp    -2011.835     0
1             posV           402.432      350
1             ButtonResp    -2011.835     0
1             posV           405.881      350
1             ButtonResp    -2011.835     0
1             posL           409.33       350
1             ButtonResp    -2011.835     0
1             posL           422.775      350
1             ButtonResp    -2011.835     0
1             scrL           426.224      350
1             ButtonResp    -2011.835     0
1             scrV           429.672      350
1             ButtonResp    -2011.835     0
1             posV           433.121      350
1             ButtonResp    -2011.835     0
1             negL           436.57       350
1             ButtonResp    -2011.835     0
1             negV           440.019      350
1             ButtonResp    -2011.835     0
1             scrV           443.468      350
1             ButtonResp    -2011.835     0
1             negL           446.916      350
1             ButtonResp    -2011.835     0
1             negFOIL        450.365      350
1             ButtonResp    -2011.835     0
1             posV           453.814      350
1             ButtonResp    -2011.835     0
1             negL           457.263      350
1             ButtonResp    -2011.835     0
1             negV           460.711      350
1             ButtonResp    -2011.835     0
1             posV           464.16       350
1             ButtonResp    -2011.835     0
1             posFOIL        467.609      350
1             ButtonResp    -2011.835     0
