Run           Event         Onset         Dur
1             scrL           14.636       350
1             ButtonResp    -2127.154     0
1             posL           18.04        350
1             ButtonResp    -2127.154     0
1             scrL           21.427       350
1             ButtonResp    -2127.154     0
1             posV           24.831       350
1             ButtonResp    -2127.154     0
1             negL           28.234       350
1             ButtonResp    -2127.154     0
1             posFOIL        31.638       350
1             ButtonResp    -2127.154     0
1             posV           35.025       350
1             ButtonResp    -2127.154     0
1             negL           38.429       350
1             ButtonResp    -2127.154     0
1             negL           41.832       350
1             ButtonResp    -2127.154     0
1             scrV           45.236       350
1             ButtonResp    -2127.154     0
1             posV           48.64        350
1             ButtonResp    -2127.154     0
1             posV           52.026       350
1             ButtonResp    -2127.154     0
1             posL           55.43        350
1             ButtonResp    -2127.154     0
1             negFOIL        58.834       350
1             ButtonResp    -2127.154     0
1             posV           72.231       350
1             ButtonResp    -2127.154     0
1             posFOIL        75.635       350
1             ButtonResp    -2127.154     0
1             negV           79.039       350
1             ButtonResp    -2127.154     0
1             posV           82.426       350
1             ButtonResp    -2127.154     0
1             negV           85.829       350
1             ButtonResp    -2127.154     0
1             posV           89.233       350
1             ButtonResp    -2127.154     0
1             negV           92.637       350
1             ButtonResp    -2127.154     0
1             negL           96.04        350
1             ButtonResp    -2127.154     0
1             negFOIL        99.427       350
1             ButtonResp    -2127.154     0
1             negL           102.831      350
1             ButtonResp    -2127.154     0
1             posV           106.235      350
1             ButtonResp    -2127.154     0
1             posFOIL        109.638      350
1             ButtonResp    -2127.154     0
1             negV           113.025      350
1             ButtonResp    -2127.154     0
1             posL           116.429      350
1             ButtonResp    -2127.154     0
1             scrV           129.827      350
1             ButtonResp    -2127.154     0
1             posFOIL        133.23       350
1             ButtonResp    -2127.154     0
1             negV           136.634      350
1             ButtonResp    -2127.154     0
1             negV           140.037      350
1             ButtonResp    -2127.154     0
1             scrFOIL        143.424      350
1             ButtonResp    -2127.154     0
1             negV           146.828      350
1             ButtonResp    -2127.154     0
1             negL           150.232      350
1             ButtonResp    -2127.154     0
1             posV           153.635      350
1             ButtonResp    -2127.154     0
1             negL           157.039      350
1             ButtonResp    -2127.154     0
1             negFOIL        160.426      350
1             ButtonResp    -2127.154     0
1             negV           163.83       350
1             ButtonResp    -2127.154     0
1             negL           167.233      350
1             ButtonResp    -2127.154     0
1             negV           170.637      350
1             ButtonResp    -2127.154     0
1             negV           174.041      350
1             ButtonResp    -2127.154     0
1             posFOIL        187.438      350
1             ButtonResp    -2127.154     0
1             scrFOIL        190.825      350
1             ButtonResp    -2127.154     0
1             posL           194.229      350
1             ButtonResp    -2127.154     0
1             posL           197.633      350
1             ButtonResp    -2127.154     0
1             negL           201.036      350
1             ButtonResp    -2127.154     0
1             posL           204.44       350
1             ButtonResp    -2127.154     0
1             posV           207.827      350
1             ButtonResp    -2127.154     0
1             negL           211.23       350
1             ButtonResp    -2127.154     0
1             negFOIL        214.634      350
1             ButtonResp    -2127.154     0
1             negV           218.038      350
1             ButtonResp    -2127.154     0
1             negV           221.425      350
1             ButtonResp    -2127.154     0
1             scrL           224.828      350
1             ButtonResp    -2127.154     0
1             negV           228.232      350
1             ButtonResp    -2127.154     0
1             scrL           231.636      350
1             ButtonResp    -2127.154     0
1             posL           245.033      350
1             ButtonResp    -2127.154     0
1             negFOIL        248.437      350
1             ButtonResp    -2127.154     0
1             posL           251.824      350
1             ButtonResp    -2127.154     0
1             posL           255.228      350
1             ButtonResp    -2127.154     0
1             negL           258.631      350
1             ButtonResp    -2127.154     0
1             scrV           262.035      350
1             ButtonResp    -2127.154     0
1             negL           265.439      350
1             ButtonResp    -2127.154     0
1             negL           268.826      350
1             ButtonResp    -2127.154     0
1             posL           272.229      350
